# Grid created from dataset flickr_images
# Label,WKT
151,"POLYGON ((6.960484408373272 46.420304497938659,6.969795563782777 46.458364717330269,6.924609595011173 46.461114083431198,6.915357623039488 46.423046741860610,6.960484408373272 46.420304497938659))"
152,"POLYGON ((6.915357623039488 46.423046741860610,6.924609595011173 46.461114083431198,6.879453031007891 46.463843607513979,6.870260226910202 46.425769194159670,6.915357623039488 46.423046741860610))"
153,"POLYGON ((6.906125624285159 46.385007772455573,6.915357623039488 46.423046741860610,6.870260226910202 46.425769194159670,6.861087272941426 46.387723172219680,6.906125624285159 46.385007772455573))"
154,"POLYGON ((8.331592999698980 46.989283621025280,8.342853978168941 47.027610082472613,8.295900618826153 47.031034459489540,8.284701233682753 46.992699145288256,8.331592999698980 46.989283621025280))"
155,"POLYGON ((8.284701233682753 46.992699145288256,8.295900618826153 47.031034459489540,8.248974742168787 47.034437221877702,8.237836944299158 46.996093109245052,8.284701233682753 46.992699145288256))"
156,"POLYGON ((8.295900618826153 47.031034459489540,8.307124453558048 47.069397198513222,8.260136862310439 47.072808783186304,8.248974742168787 47.034437221877702,8.295900618826153 47.031034459489540))"
157,"POLYGON ((8.552062966644549 47.405282595311519,8.563724522277461 47.443890698166882,8.516030350281985 47.447458597995166,8.504431815536964 47.408841262877985,8.552062966644549 47.405282595311519))"
158,"POLYGON ((8.504431815536964 47.408841262877985,8.516030350281985 47.447458597995166,8.468363538694774 47.451004208780269,8.456828020741172 47.412377697386638,8.504431815536964 47.408841262877985))"
159,"POLYGON ((8.492858755530815 47.370251053714405,8.504431815536964 47.408841262877985,8.456828020741172 47.412377697386638,8.445317846831962 47.373778336752686,8.492858755530815 47.370251053714405))"
160,"POLYGON ((7.615141962340153 47.511052727346645,7.625567317836458 47.549862452356791,7.578374336119743 47.552999240990857,7.568011987031837 47.514181370072535,7.615141962340153 47.511052727346645))"
161,"POLYGON ((7.568011987031837 47.514181370072535,7.578374336119743 47.552999240990857,7.531210497327733 47.556114379019583,7.520911143778632 47.517288417108283,7.568011987031837 47.514181370072535))"
162,"POLYGON ((7.578374336119743 47.552999240990857,7.588759667742463 47.591844656978729,7.541532699829566 47.594967908078743,7.531210497327733 47.556114379019583,7.578374336119743 47.552999240990857))"
163,"POLYGON ((8.599721383359949 47.401701661092829,8.611445963627281 47.440300475645621,8.563724522277461 47.443890698166882,8.552062966644549 47.405282595311519,8.599721383359949 47.401701661092829))"
164,"POLYGON ((8.635645232533159 47.359536007253013,8.647406974748600 47.398098426728048,8.599721383359949 47.401701661092829,8.588022538852012 47.363129922453567,8.635645232533159 47.359536007253013))"
165,"POLYGON ((8.647406974748600 47.398098426728048,8.659194583046324 47.436687896882624,8.611445963627281 47.440300475645621,8.599721383359949 47.401701661092829,8.647406974748600 47.398098426728048))"
166,"POLYGON ((8.612199028422435 47.282492424818017,8.623909276839443 47.321000664626403,8.576349350905351 47.324585285827382,8.564701740636183 47.286067777114965,8.612199028422435 47.282492424818017))"
167,"POLYGON ((8.623909276839443 47.321000664626403,8.635645232533159 47.359536007253013,8.588022538852012 47.363129922453567,8.576349350905351 47.324585285827382,8.623909276839443 47.321000664626403))"
168,"POLYGON ((8.576349350905351 47.324585285827382,8.588022538852012 47.363129922453567,8.540427016322699 47.366701593461045,8.528816592477249 47.328147718646015,8.576349350905351 47.324585285827382))"
169,"POLYGON ((8.564701740636183 47.286067777114965,8.576349350905351 47.324585285827382,8.528816592477249 47.328147718646015,8.517231616586630 47.289620996698353,8.564701740636183 47.286067777114965))"
170,"POLYGON ((6.644958482016412 46.535724857976689,6.649413993076153 46.554813085795061,6.626869199740799 46.556123018389250,6.622428524449515 46.537033090570958,6.644958482016412 46.535724857976689))"
171,"POLYGON ((6.640507800741377 46.516643742071984,6.644958482016412 46.535724857976689,6.622428524449515 46.537033090570958,6.617992663402291 46.517950276985658,6.640507800741377 46.516643742071984))"
172,"POLYGON ((6.663030415161955 46.515332290380393,6.667495918833287 46.534411702331916,6.644958482016412 46.535724857976689,6.640507800741377 46.516643742071984,6.663030415161955 46.515332290380393))"
173,"POLYGON ((6.667495918833287 46.534411702331916,6.671966267826695 46.553498223869497,6.649413993076153 46.554813085795061,6.644958482016412 46.535724857976689,6.667495918833287 46.534411702331916))"
174,"POLYGON ((6.121692506431293 46.218007252569585,6.125771454826256 46.236999125313893,6.103642056910352 46.238183367241838,6.099577619919278 46.219189957499673,6.121692506431293 46.218007252569585))"
175,"POLYGON ((6.117617953833112 46.199022576679823,6.121692506431293 46.218007252569585,6.099577619919278 46.219189957499673,6.095517563531571 46.200203746712653,6.117617953833112 46.199022576679823))"
176,"POLYGON ((6.139725958357268 46.197836687905117,6.143815009731739 46.216819822860820,6.121692506431293 46.218007252569585,6.117617953833112 46.199022576679823,6.139725958357268 46.197836687905117))"
177,"POLYGON ((6.143815009731739 46.216819822860820,6.147908472094239 46.235810152562458,6.125771454826256 46.236999125313893,6.121692506431293 46.218007252569585,6.143815009731739 46.216819822860820))"
178,"POLYGON ((6.165945121101176 46.215627664004593,6.170053099977961 46.234616444614190,6.147908472094239 46.235810152562458,6.143815009731739 46.216819822860820,6.165945121101176 46.215627664004593))"
179,"POLYGON ((6.161841568401459 46.196646076024273,6.165945121101176 46.215627664004593,6.143815009731739 46.216819822860820,6.139725958357268 46.197836687905117,6.161841568401459 46.196646076024273))"
180,"POLYGON ((6.183964775249060 46.195450736676911,6.188082831806093 46.214430771635968,6.165945121101176 46.215627664004593,6.161841568401459 46.196646076024273,6.183964775249060 46.195450736676911))"
181,"POLYGON ((6.188082831806093 46.214430771635968,6.192205329726983 46.233417997099636,6.170053099977961 46.234616444614190,6.165945121101176 46.215627664004593,6.188082831806093 46.214430771635968))"
182,"POLYGON ((7.443408911920731 46.952928808540683,7.448439939305686 46.972131243099696,7.425312711213364 46.973637085150820,7.420296953447263 46.954432697585133,7.443408911920731 46.952928808540683))"
183,"POLYGON ((7.438383376759527 46.933733349239716,7.443408911920731 46.952928808540683,7.420296953447263 46.954432697585133,7.415286671943917 46.935235287933317,7.438383376759527 46.933733349239716))"
184,"POLYGON ((7.461487311020131 46.932226208999630,7.466528101342321 46.951419711348407,7.443408911920731 46.952928808540683,7.438383376759527 46.933733349239716,7.461487311020131 46.932226208999630))"
185,"POLYGON ((7.466528101342321 46.951419711348407,7.471574399844195 46.970620186290823,7.448439939305686 46.972131243099696,7.443408911920731 46.952928808540683,7.466528101342321 46.951419711348407))"
186,"POLYGON ((8.324998146879430 47.048500703515323,8.330628562860488 47.067683282350288,8.307124453558048 47.069397198513222,8.301509475312530 47.050212402397754,8.324998146879430 47.048500703515323))"
187,"POLYGON ((8.319373868584002 47.029324974888738,8.324998146879430 47.048500703515323,8.301509475312530 47.050212402397754,8.295900618826153 47.031034459489540,8.319373868584002 47.029324974888738))"
188,"POLYGON ((8.342853978168941 47.027610082472613,8.348493678998945 47.046783590010662,8.324998146879430 47.048500703515323,8.319373868584002 47.029324974888738,8.342853978168941 47.027610082472613))"
189,"POLYGON ((8.348493678998945 47.046783590010662,8.354139533434134 47.065963944749498,8.330628562860488 47.067683282350288,8.324998146879430 47.048500703515323,8.348493678998945 47.046783590010662))"
190,"POLYGON ((8.540427016322699 47.366701593461045,8.546241795754264 47.385988705129101,8.522438537304245 47.387768513266998,8.516639472556955 47.368479097838140,8.540427016322699 47.366701593461045))"
191,"POLYGON ((8.516639472556955 47.368479097838140,8.522438537304245 47.387768513266998,8.498642106103247 47.389542765924723,8.492858755530815 47.370251053714405,8.516639472556955 47.368479097838140))"
192,"POLYGON ((8.522438537304245 47.387768513266998,8.528243977215368 47.407064710328982,8.504431815536964 47.408841262877985,8.498642106103247 47.389542765924723,8.522438537304245 47.387768513266998))"
193,"POLYGON ((8.546241795754264 47.385988705129101,8.552062966644549 47.405282595311519,8.528243977215368 47.407064710328982,8.522438537304245 47.387768513266998,8.546241795754264 47.385988705129101))"
194,"POLYGON ((7.607172753988032 47.570850784460752,7.612384089768206 47.590274894037229,7.588759667742463 47.591844656978729,7.583564124630428 47.572418507424530,7.607172753988032 47.570850784460752))"
195,"POLYGON ((7.601967189522462 47.551433555227739,7.607172753988032 47.570850784460752,7.583564124630428 47.572418507424530,7.578374336119743 47.552999240990857,7.601967189522462 47.551433555227739))"
196,"POLYGON ((7.625567317836458 47.549862452356791,7.630788659585727 47.569277637507255,7.607172753988032 47.570850784460752,7.601967189522462 47.551433555227739,7.625567317836458 47.549862452356791))"
197,"POLYGON ((7.630788659585727 47.569277637507255,7.636015789356988 47.588699700215152,7.612384089768206 47.590274894037229,7.607172753988032 47.570850784460752,7.630788659585727 47.569277637507255))"
198,"POLYGON ((8.570051870129889 47.384203337318290,8.575888772479285 47.403494913629437,8.552062966644549 47.405282595311519,8.546241795754264 47.385988705129101,8.570051870129889 47.384203337318290))"
199,"POLYGON ((8.564221375526392 47.364918536393851,8.570051870129889 47.384203337318290,8.546241795754264 47.385988705129101,8.540427016322699 47.366701593461045,8.564221375526392 47.364918536393851))"
200,"POLYGON ((8.588022538852012 47.363129922453567,8.593868749093325 47.382412405648125,8.570051870129889 47.384203337318290,8.564221375526392 47.364918536393851,8.588022538852012 47.363129922453567))"
201,"POLYGON ((8.593868749093325 47.382412405648125,8.599721383359949 47.401701661092829,8.575888772479285 47.403494913629437,8.570051870129889 47.384203337318290,8.593868749093325 47.382412405648125))"
