# Grid created from dataset flickr_images
# Label,WKT
35,"POLYGON ((7.755073106487263 45.946121326965439,7.837716230932599 46.247697565792492,7.474332289426683 46.272097764033767,7.395432663659406 45.970022128466191,7.755073106487263 45.946121326965439))"
36,"POLYGON ((8.116483200736917 45.920944695035978,8.202874917433583 46.221995565130193,7.837716230932599 46.247697565792492,7.755073106487263 45.946121326965439,8.116483200736917 45.920944695035978))"
37,"POLYGON ((8.202874917433583 46.221995565130193,8.290757955202984 46.524826701378764,7.921789156095402 46.551065564828775,7.837716230932599 46.247697565792492,8.202874917433583 46.221995565130193))"
38,"POLYGON ((8.007326876811252 46.856214866534216,8.094365503789035 47.163134246899688,7.719374198948144 47.189099336386001,7.636268925612545 46.881646961027428,8.007326876811252 46.856214866534216))"
39,"POLYGON ((8.094365503789035 47.163134246899688,8.182942307483673 47.471811700564750,7.803951454258062 47.498321489833778,7.719374198948144 47.189099336386001,8.094365503789035 47.163134246899688))"
40,"POLYGON ((8.182942307483673 47.471811700564750,8.273095764013863 47.782234426085687,7.890037643700349 47.809300882788520,7.803951454258062 47.498321489833778,8.182942307483673 47.471811700564750))"
41,"POLYGON ((7.426797197471997 47.523437866766713,7.508820629913144 47.834945389307116,7.129490384596060 47.859186390446467,7.051523788871876 47.547179009230049,7.426797197471997 47.523437866766713))"
42,"POLYGON ((7.719374198948144 47.189099336386001,7.803951454258062 47.498321489833778,7.426797197471997 47.523437866766713,7.346214572122230 47.213698966386296,7.719374198948144 47.189099336386001))"
43,"POLYGON ((7.346214572122230 47.213698966386296,7.426797197471997 47.523437866766713,7.051523788871876 47.547179009230049,6.974929515996146 47.236951049105357,7.346214572122230 47.213698966386296))"
44,"POLYGON ((8.946251898069836 47.414541077371524,9.044547666876324 47.723763868020839,8.657948323237804 47.753727967615106,8.563724522277461 47.443890698166882,8.946251898069836 47.414541077371524))"
45,"POLYGON ((9.229886243727718 47.076872630420745,9.330477287543582 47.383745846804587,8.946251898069836 47.414541077371524,8.849666788199317 47.107037866411112,9.229886243727718 47.076872630420745))"
46,"POLYGON ((9.330477287543582 47.383745846804587,9.432845173937748 47.692324919085756,9.044547666876324 47.723763868020839,8.946251898069836 47.414541077371524,9.330477287543582 47.383745846804587))"
47,"POLYGON ((9.611756365859899 47.045274080557789,9.716352617103505 47.351488447245529,9.330477287543582 47.383745846804587,9.229886243727718 47.076872630420745,9.611756365859899 47.045274080557789))"
48,"POLYGON ((9.995229633242426 47.012226290746462,10.103828908856151 47.317752769742185,9.716352617103505 47.351488447245529,9.611756365859899 47.045274080557789,9.995229633242426 47.012226290746462))"
