# ID,WKT
15,"POLYGON ((9.579014061982095 45.807160242475511,9.680426512250161 46.105845490035861,9.308586289659647 46.136915813539851,9.210930476051985 45.837599131710078,9.579014061982095 45.807160242475511))"
16,"POLYGON ((9.308586289659647 46.136915813539851,9.407915444857883 46.437975025984592,9.033864565673641 46.468297578177882,8.938352126244570 46.166620624623214,9.308586289659647 46.136915813539851))"
17,"POLYGON ((9.680426512250161 46.105845490035861,9.783571982694893 46.406259606503959,9.407915444857883 46.437975025984592,9.308586289659647 46.136915813539851,9.680426512250161 46.105845490035861))"
18,"POLYGON ((9.783571982694893 46.406259606503959,9.888492063376068 46.708390752550592,9.508958273649842 46.740765226376702,9.407915444857883 46.437975025984592,9.783571982694893 46.406259606503959))"
19,"POLYGON ((9.888492063376068 46.708390752550592,9.995229633242426 47.012226290746462,9.611756365859899 47.045274080557789,9.508958273649842 46.740765226376702,9.888492063376068 46.708390752550592))"
20,"POLYGON ((9.508958273649842 46.740765226376702,9.611756365859899 47.045274080557789,9.229886243727718 47.076872630420745,9.131029182638482 46.771718927085871,9.508958273649842 46.740765226376702))"
21,"POLYGON ((9.407915444857883 46.437975025984592,9.508958273649842 46.740765226376702,9.131029182638482 46.771718927085871,9.033864565673641 46.468297578177882,9.407915444857883 46.437975025984592))"
22,"POLYGON ((9.033864565673641 46.468297578177882,9.131029182638482 46.771718927085871,8.754750905229027 46.801267596105795,8.661464101722173 46.497242818376414,9.033864565673641 46.468297578177882))"
23,"POLYGON ((9.131029182638482 46.771718927085871,9.229886243727718 47.076872630420745,8.849666788199317 47.107037866411112,8.754750905229027 46.801267596105795,9.131029182638482 46.771718927085871))"
24,"POLYGON ((8.754750905229027 46.801267596105795,8.849666788199317 47.107037866411112,8.471144633014832 47.135786147293089,8.380168685344744 46.829427390640269,8.754750905229027 46.801267596105795))"
25,"POLYGON ((8.661464101722173 46.497242818376414,8.754750905229027 46.801267596105795,8.380168685344744 46.829427390640269,8.290757955202984 46.524826701378764,8.661464101722173 46.497242818376414))"
26,"POLYGON ((8.569767466600860 46.194975291222995,8.661464101722173 46.497242818376414,8.290757955202984 46.524826701378764,8.202874917433583 46.221995565130193,8.569767466600860 46.194975291222995))"
27,"POLYGON ((8.938352126244570 46.166620624623214,9.033864565673641 46.468297578177882,8.661464101722173 46.497242818376414,8.569767466600860 46.194975291222995,8.938352126244570 46.166620624623214))"
28,"POLYGON ((8.479623279015842 45.894475993981246,8.569767466600860 46.194975291222995,8.202874917433583 46.221995565130193,8.116483200736917 45.920944695035978,8.479623279015842 45.894475993981246))"
29,"POLYGON ((8.390994964221669 45.595755142693427,8.479623279015842 45.894475993981246,8.116483200736917 45.920944695035978,8.031547544594451 45.621684046949191,8.390994964221669 45.595755142693427))"
30,"POLYGON ((8.752128793110638 45.568544157797611,8.844452822672201 45.866699322341717,8.479623279015842 45.894475993981246,8.390994964221669 45.595755142693427,8.752128793110638 45.568544157797611))"
31,"POLYGON ((6.464116618699084 46.642910035436380,6.534218724673701 46.949985685189482,6.170711962889471 46.970172646973730,6.104448397961738 46.662681089252494,6.464116618699084 46.642910035436380))"
32,"POLYGON ((6.825723722447417 46.621880804618932,6.899673743247255 46.928514557723190,6.534218724673701 46.949985685189482,6.464116618699084 46.642910035436380,6.825723722447417 46.621880804618932))"
33,"POLYGON ((6.899673743247255 46.928514557723190,6.974929515996146 47.236951049105357,6.605560947618245 47.258873840373710,6.534218724673701 46.949985685189482,6.899673743247255 46.928514557723190))"
