Level,WKT
46,"POLYGON ((9.866935094567813 46.089793567567433,9.919238687518311 46.239619697096231,9.731780050223323 46.255837161095080,9.680426512250161 46.105845490035861,9.866935094567813 46.089793567567433))"
47,"POLYGON ((10.053828529427479 46.073394686114902,10.107081896977640 46.223051840261355,9.919238687518311 46.239619697096231,9.866935094567813 46.089793567567433,10.053828529427479 46.073394686114902))"
48,"POLYGON ((10.107081896977640 46.223051840261355,10.160788587390531 46.373136180484892,9.971988158246930 46.389874823814203,9.919238687518311 46.239619697096231,10.107081896977640 46.223051840261355))"
49,"POLYGON ((10.187353723285666 45.907589158071531,10.241101158775882 46.056647039786093,10.053828529427479 46.073394686114902,10.001023173778931 45.924166211224055,10.187353723285666 45.907589158071531))"
50,"POLYGON ((10.374058167954050 45.890664979856837,10.428747275774448 46.039548849669792,10.241101158775882 46.056647039786093,10.187353723285666 45.907589158071531,10.374058167954050 45.890664979856837))"
51,"POLYGON ((10.319826316657764 45.742207587498505,10.374058167954050 45.890664979856837,10.187353723285666 45.907589158071531,10.134056325633898 45.758959593260478,10.319826316657764 45.742207587498505))"
52,"POLYGON ((10.134056325633898 45.758959593260478,10.187353723285666 45.907589158071531,10.001023173778931 45.924166211224055,9.948660598476254 45.775367859471153,10.134056325633898 45.758959593260478))"
53,"POLYGON ((9.948660598476254 45.775367859471153,10.001023173778931 45.924166211224055,9.815072143947722 45.940397909218653,9.763644678739034 45.791434146949690,9.948660598476254 45.775367859471153))"
54,"POLYGON ((10.001023173778931 45.924166211224055,10.053828529427479 46.073394686114902,9.866935094567813 46.089793567567433,9.815072143947722 45.940397909218653,10.001023173778931 45.924166211224055))"
55,"POLYGON ((9.815072143947722 45.940397909218653,9.866935094567813 46.089793567567433,9.680426512250161 46.105845490035861,9.629506209915343 45.956286048425440,9.815072143947722 45.940397909218653))"
56,"POLYGON ((9.763644678739034 45.791434146949690,9.815072143947722 45.940397909218653,9.629506209915343 45.956286048425440,9.579014061982095 45.807160242475511,9.763644678739034 45.791434146949690))"
57,"POLYGON ((9.579014061982095 45.807160242475511,9.629506209915343 45.956286048425440,9.444330898787246 45.971832451194850,9.394774195163693 45.822547958309087,9.579014061982095 45.807160242475511))"
58,"POLYGON ((9.629506209915343 45.956286048425440,9.680426512250161 46.105845490035861,9.494308391094608 46.121552285901451,9.444330898787246 45.971832451194850,9.629506209915343 45.956286048425440))"
59,"POLYGON ((9.075174004946824 46.001907463793067,9.123265715833407 46.151937956823744,8.938352126244570 46.166620624623214,8.891203225979188 46.016439843818077,9.075174004946824 46.001907463793067))"
60,"POLYGON ((9.308586289659647 46.136915813539851,9.358039207741999 46.287228306485410,9.171768233492607 46.302405751588800,9.123265715833407 46.151937956823744,9.308586289659647 46.136915813539851))"
61,"POLYGON ((9.358039207741999 46.287228306485410,9.407915444857883 46.437975025984592,9.220686480841518 46.453309447844248,9.171768233492607 46.302405751588800,9.358039207741999 46.287228306485410))"
62,"POLYGON ((9.544711676620745 46.271706074606541,9.595545836590231 46.422292380802148,9.407915444857883 46.437975025984592,9.358039207741999 46.287228306485410,9.544711676620745 46.271706074606541))"
63,"POLYGON ((9.494308391094608 46.121552285901451,9.544711676620745 46.271706074606541,9.358039207741999 46.287228306485410,9.308586289659647 46.136915813539851,9.494308391094608 46.121552285901451))"
64,"POLYGON ((9.680426512250161 46.105845490035861,9.731780050223323 46.255837161095080,9.544711676620745 46.271706074606541,9.494308391094608 46.121552285901451,9.680426512250161 46.105845490035861))"
65,"POLYGON ((9.731780050223323 46.255837161095080,9.783571982694893 46.406259606503959,9.595545836590231 46.422292380802148,9.544711676620745 46.271706074606541,9.731780050223323 46.255837161095080))"
