Level,WKT
30,"POLYGON ((-67.380135051959584 -21.037511025421814,-67.380135051959584 -32.399840173919323,-55.491477012331600 -29.532803705822648,-55.491477012331607 -18.949950004453903,-67.380135051959584 -21.037511025421814))"
31,"POLYGON ((-10.619655276155134 39.494640112744214,-5.059868846264117 39.871128002988222,-5.059868846264116 44.888143788910511,-10.619655276155134 44.505098209896218,-10.619655276155134 39.494640112744214))"
32,"POLYGON ((-5.059868846264117 34.404157240638142,0.000000000000000 34.508522987668400,0.000000000000000 39.981234658918893,-5.059868846264117 39.871128002988222,-5.059868846264117 34.404157240638142))"
33,"POLYGON ((0.000000000000000 34.508522987668400,5.059868846264117 34.404157240638142,5.059868846264117 39.871128002988222,0.000000000000000 39.981234658918893,0.000000000000000 34.508522987668400))"
34,"POLYGON ((5.059868846264117 34.404157240638142,10.619655276155134 34.047862969434313,10.619655276155134 39.494640112744214,5.059868846264117 39.871128002988222,5.059868846264117 34.404157240638142))"
35,"POLYGON ((16.534837857345156 33.387667212363269,22.619864948040426 32.399840173919323,22.619864948040426 37.741249163522390,16.534837857345156 38.794595155857678,16.534837857345156 33.387667212363269))"
36,"POLYGON ((22.619864948040426 32.399840173919323,28.673146489434995 31.098071404261553,28.673146489434995 36.342373130800510,22.619864948040426 37.741249163522390,22.619864948040426 32.399840173919323))"
37,"POLYGON ((22.619864948040426 37.741249163522390,28.673146489434995 36.342373130800510,28.673146489434988 41.262779964003116,22.619864948040426 42.709389957361473,22.619864948040426 37.741249163522390))"
38,"POLYGON ((39.981234658918893 22.735909530093693,45.000000000000000 21.141437445842218,45.000000000000000 25.926050881945805,39.981234658918893 27.780273163189150,39.981234658918893 22.735909530093693))"
39,"POLYGON ((39.981234658918893 17.706872854713332,45.000000000000000 16.416440373585463,45.000000000000000 21.141437445842218,39.981234658918893 22.735909530093693,39.981234658918893 17.706872854713332))"
40,"POLYGON ((90.000000000000000 16.534837857345156,95.059868846264123 16.473902200167128,95.059868846264123 22.540549401944705,90.000000000000000 22.619864948040426,90.000000000000000 16.534837857345156))"
41,"POLYGON ((95.059868846264123 10.579207337370578,100.619655276155143 10.441798171725758,100.619655276155143 16.266726490119485,95.059868846264123 16.473902200167128,95.059868846264123 10.579207337370578))"
42,"POLYGON ((106.534837857345167 38.794595155857678,112.619864948040430 37.741249163522390,112.619864948040430 42.709389957361473,106.534837857345167 43.790487397856815,106.534837857345167 38.794595155857678))"
43,"POLYGON ((106.534837857345167 33.387667212363269,112.619864948040430 32.399840173919323,112.619864948040430 37.741249163522390,106.534837857345167 38.794595155857678,106.534837857345167 33.387667212363269))"
44,"POLYGON ((84.940131153735877 39.871128002988222,90.000000000000000 39.981234658918893,90.000000000000000 45.000000000000000,84.940131153735877 44.888143788910511,84.940131153735877 39.871128002988222))"
45,"POLYGON ((84.940131153735877 34.404157240638142,90.000000000000000 34.508522987668400,90.000000000000000 39.981234658918893,84.940131153735877 39.871128002988222,84.940131153735877 34.404157240638142))"
46,"POLYGON ((79.380344723844871 34.047862969434313,84.940131153735877 34.404157240638142,84.940131153735877 39.871128002988222,79.380344723844871 39.494640112744214,79.380344723844871 34.047862969434313))"
47,"POLYGON ((73.465162142654847 21.773556066439731,79.380344723844871 22.270575488008195,79.380344723844871 28.258395338685673,73.465162142654847 27.666225182415850,73.465162142654847 21.773556066439731))"
