ID,WKT
21,"POLYGON ((9.220686480841518 46.453309447844248,9.270025456943349 46.604647596568917,9.082237864552971 46.619790937190466,9.033864565673641 46.468297578177882,9.220686480841518 46.453309447844248))"
22,"POLYGON ((9.033864565673641 46.468297578177882,9.082237864552971 46.619790937190466,8.894862955776421 46.634586495899015,8.847455267666241 46.482941374270297,9.033864565673641 46.468297578177882))"
23,"POLYGON ((9.131029182638482 46.771718927085871,9.180243591884041 46.924080018095282,8.990913919054794 46.939184045579672,8.942680843844105 46.786667890276320,9.131029182638482 46.771718927085871))"
24,"POLYGON ((9.180243591884041 46.924080018095282,9.229886243727718 47.076872630420745,9.039567246978422 47.092133400162602,8.990913919054794 46.939184045579672,9.180243591884041 46.924080018095282))"
25,"POLYGON ((8.753850925693110 46.180965750303855,8.800452869239534 46.331733987867572,8.615419398035751 46.345888694198891,8.569767466600860 46.194975291222995,8.753850925693110 46.180965750303855))"
26,"POLYGON ((7.317868410739239 45.669758672660620,7.356485611063801 45.819663315136260,7.178264473064062 45.831022366211151,7.140563070873617 45.681000922861088,7.317868410739239 45.669758672660620))"
27,"POLYGON ((6.573897224908094 46.327513942721680,6.609135354624716 46.479806002036653,6.429521132709435 46.490055144571372,6.395224423808759 46.337657179846090,6.573897224908094 46.327513942721680))"
28,"POLYGON ((6.429521132709435 46.490055144571372,6.464116618699084 46.642910035436380,6.284037782007805 46.652951698293201,6.250390455871703 46.499992935948192,6.429521132709435 46.490055144571372))"
29,"POLYGON ((6.217033965584450 46.347492229655309,6.250390455871703 46.499992935948192,6.071747968263931 46.509621634372614,6.039330422848942 46.357021331906907,6.217033965584450 46.347492229655309))"
30,"POLYGON ((6.361222864326589 46.185717311146881,6.395224423808759 46.337657179846090,6.217033965584450 46.347492229655309,6.183964775249060 46.195450736676911,6.361222864326589 46.185717311146881))"
31,"POLYGON ((6.862537519793103 46.774971664549469,6.899673743247255 46.928514557723190,6.716705158181129 46.939411792344174,6.680535512485779 46.785756179290907,6.862537519793103 46.774971664549469))"
32,"POLYGON ((6.716705158181129 46.939411792344174,6.753193029129606 47.093519340164029,6.569732895532899 47.104203872116102,6.534218724673702 46.949985685189482,6.716705158181129 46.939411792344174))"
